ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
364369,47189,CIENAGA,MAGDALENA,2000,6,28,405803,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),11.0066568813,-74.2412861592
364370,19110,BUENOS AIRES,CAUCA,2000,6,29,405804,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),3.0154268296,-76.6422805942
364371,41006,ACEVEDO,HUILA,2000,6,29,405805,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,INFANCIA (6-11 AÑOS),1.8052632275,-75.8885315631
364372,19110,BUENOS AIRES,CAUCA,2000,6,30,405806,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),3.0154268296,-76.6422805942
364373,05045,APARTADO,ANTIOQUIA,2000,6,30,405807,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,INFANCIA (6-11 AÑOS),7.8834174058,-76.6259606537
364374,20011,AGUACHICA,CESAR,2000,7,1,405808,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),8.3103369584,-73.599028585
364375,76364,JAMUNDI,VALLE DEL CAUCA,2000,7,1,405809,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),3.2622757602,-76.5424587285
364376,54810,TIBU,NORTE DE SANTANDER,2000,7,1,405810,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),8.6395488525,-72.7359186314
364377,08433,MALAMBO,ATLANTICO,2000,7,1,405811,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),10.8562872414,-74.7742405717
364378,05674,SAN VICENTE FERRER,ANTIOQUIA,2000,7,1,405812,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.2821558517,-75.3326138129
